Name,Country,Age,Gender,Account_Creation_Year,Minutes_Spent
Brianna Blake,Cote d'Ivoire,16,Non-binary,2019,38
Andrea Green,Timor-Leste,30,Non-binary,2023,0
Sherry Larson,Lesotho,46,Non-binary,2011,289
Nathan Oconnor,Korea,20,Female,2022,18
Lisa Chen,Bosnia and Herzegovina,18,Non-binary,2016,481
Todd Porter,Palestinian Territory,64,Male,2015,202
Derek Brown,Honduras,25,Male,2013,456
Nicholas Gomez,Ireland,23,Non-binary,2023,424
Margaret Finley,Iraq,57,Female,2011,392
Amanda Hammond,Uganda,20,Male,2011,402
Jamie Ingram,Libyan Arab Jamahiriya,34,Female,2010,239
Anthony Griffin,South Africa,18,Male,2019,145
Lauren Henry,Palestinian Territory,16,Non-binary,2023,497
Joshua Thomas DVM,Cayman Islands,44,Male,2013,445
Hannah Johnson,Korea,20,Female,2010,53
Jason Chang,Hungary,38,Male,2019,441
Jessica Turner,Zimbabwe,44,Female,2020,194
Rachel Goodwin,Wallis and Futuna,19,Non-binary,2016,25
Carolyn Jones,Azerbaijan,63,Non-binary,2014,67
Thomas Watkins,Bhutan,29,Male,2011,377
Austin Payne,French Guiana,52,Non-binary,2018,188
Susan Bryan,Australia,60,Non-binary,2013,279
Michael Edwards,New Zealand,63,Male,2021,383
Karen Stokes,Bulgaria,26,Female,2021,368
April Hansen,Albania,22,Non-binary,2011,301
Lori Smith,Uganda,35,Female,2013,205
Jonathan Ruiz,Saudi Arabia,54,Non-binary,2023,370
Erica Fischer,New Zealand,33,Female,2015,347
Rick Hicks,Ethiopia,31,Non-binary,2018,374
Robert Herring,Tajikistan,13,Female,2012,61
Amanda Adams DDS,Ireland,55,Male,2019,60
Christine Miller,Nicaragua,47,Female,2014,326
Mary Rogers,South Georgia and the South Sandwich Islands,21,Female,2011,497
Benjamin Chandler,Cape Verde,55,Female,2013,481
Jeffrey Morales,Haiti,29,Male,2012,44
Tyler Johnson,Madagascar,56,Non-binary,2017,328
Charlene Liu,Panama,49,Female,2018,279
David Brown,New Zealand,34,Female,2019,137
Marvin Abbott,United Kingdom,33,Female,2019,101
Jenna Gibson,Iraq,44,Female,2020,64
Melanie Carroll,Cyprus,23,Non-binary,2023,210
Chad Thomas,Dominican Republic,27,Non-binary,2022,341
Laura Butler,Netherlands Antilles,22,Non-binary,2010,390
Cole Howell,Thailand,20,Female,2017,46
Alvin Perez,Benin,42,Male,2017,299
Kelly Osborn,Ireland,50,Female,2011,154
Lauren Pacheco,Gambia,42,Male,2018,142
Thomas Foster,Greenland,29,Non-binary,2022,427
Mary Gardner,Togo,44,Non-binary,2010,321
Luke Nash,British Virgin Islands,20,Male,2011,7
John Matthews,Liberia,28,Male,2019,47
Bryan Taylor,Sri Lanka,27,Male,2014,9
Lori Roman,Uruguay,56,Male,2021,337
Tracy Conway,Nepal,61,Female,2012,145
Anthony Anthony,Guatemala,57,Female,2020,190
Lynn Sampson,China,39,Female,2023,359
James Hanna,Saint Kitts and Nevis,34,Male,2020,289
Jessica Mitchell,Australia,48,Non-binary,2010,44
Mitchell Meyer,Yemen,28,Female,2016,272
Taylor Montgomery PhD,Isle of Man,32,Non-binary,2012,439
Luis Haney Jr.,Serbia,63,Male,2023,276
Stacy Curry,Pitcairn Islands,36,Non-binary,2018,271
Jacqueline Oconnell,Northern Mariana Islands,64,Male,2017,287
Elizabeth Rivera,Yemen,45,Male,2023,325
Mr. Jeffrey Cole MD,Sao Tome and Principe,20,Non-binary,2011,462
Brittany Davis,Angola,23,Non-binary,2017,236
Elizabeth Williams,Vanuatu,49,Non-binary,2020,125
Beth Williams,Nicaragua,53,Female,2016,439
William Gonzalez,Pitcairn Islands,65,Male,2010,220
Cody Roman,Barbados,41,Non-binary,2021,195
Jason Medina,Congo,63,Female,2012,471
Jennifer Holland,Somalia,63,Male,2016,408
Lisa Miller,Saint Martin,16,Male,2018,79
Sean Barnes,Puerto Rico,61,Female,2015,87
Gregory Shaw,Sao Tome and Principe,40,Male,2021,128
Aaron Smith,Saint Kitts and Nevis,34,Non-binary,2017,112
Hector Johnson,Bouvet Island (Bouvetoya),14,Female,2010,396
Paul Sandoval,Chad,19,Male,2018,212
Jonathan Myers,Portugal,60,Non-binary,2014,277
Anthony Carroll,Guernsey,22,Non-binary,2012,141
Jordan Kaufman,Cameroon,29,Male,2010,94
Rebekah Johnson,Indonesia,22,Female,2010,342
Jacqueline Russell,Luxembourg,55,Female,2012,394
Gabrielle Baker,Monaco,40,Non-binary,2012,334
Paul Owen,Ukraine,33,Male,2020,15
Rebecca Oneal,Ghana,48,Female,2017,431
William Robles,Samoa,41,Male,2018,441
Connor Sanchez,Comoros,62,Male,2017,62
Patricia Edwards,Uzbekistan,64,Non-binary,2021,333
Brandy Villegas,Svalbard & Jan Mayen Islands,39,Non-binary,2016,345
Randy Perez,Guatemala,23,Male,2022,354
Brian Cameron,Burundi,48,Female,2022,299
Brandy Smith,Vanuatu,21,Non-binary,2014,400
Ellen Mueller,Slovakia (Slovak Republic),37,Female,2018,456
Debbie Anthony,Yemen,16,Non-binary,2023,134
Kelly Miller,Solomon Islands,19,Female,2018,456
Bridget Wheeler,Guadeloupe,37,Male,2012,275
Brianna Downs,Tajikistan,58,Female,2018,198
Nathan Cervantes,Palestinian Territory,54,Female,2012,418
John Moore,Lao People's Democratic Republic,55,Non-binary,2015,185
Sharon Wade,Suriname,18,Female,2017,32
Kristen Wright,Ethiopia,38,Female,2019,197
Danny Ford,Saint Pierre and Miquelon,30,Female,2012,348
Amy Dawson,Netherlands,56,Male,2021,390
Jimmy Becker,Bahrain,13,Male,2017,50
Victoria Harris,Faroe Islands,21,Male,2016,138
Mrs. Deanna Marquez,India,53,Male,2016,463
Richard Robinson,Macao,52,Non-binary,2021,108
Samantha Mathews,Tajikistan,41,Male,2017,168
Noah Alexander,Benin,50,Male,2023,163
Angela Swanson,Saint Martin,58,Non-binary,2015,346
William Hill,Nigeria,45,Female,2012,308
David Parker,Belgium,46,Non-binary,2023,367
Laura Colon,Congo,42,Male,2012,194
Meghan Meyer,French Polynesia,46,Male,2015,26
Steven Garcia,Sudan,63,Male,2013,337
Lori Bailey MD,Sao Tome and Principe,51,Male,2020,56
Matthew Vaughn,Guyana,43,Non-binary,2010,244
Richard Gould,Barbados,38,Female,2022,158
Wesley Willis,Isle of Man,53,Male,2022,173
Ryan Davis,Morocco,20,Non-binary,2017,245
Reginald Allen,Isle of Man,38,Female,2017,473
Susan Adams,Niue,45,Non-binary,2010,192
Madison Rubio,Mayotte,59,Male,2011,260
Travis Flowers,Isle of Man,18,Male,2012,123
Todd Simmons,Armenia,60,Female,2010,229
Randy Berry,Hong Kong,14,Male,2015,129
Jessica Boone,Costa Rica,14,Non-binary,2021,21
Jessica Orozco,Western Sahara,19,Male,2016,390
David Taylor,Czech Republic,54,Male,2021,282
Denise Johnson,Mauritius,52,Female,2022,413
Amy Sanford,Burkina Faso,32,Male,2015,125
Dominic Soto,Lesotho,14,Male,2014,309
Jared Sanders,Central African Republic,35,Male,2017,164
Christopher Mosley,Dominica,56,Male,2017,481
Alexandra Rose,Tanzania,19,Male,2020,12
Kristopher Zimmerman,Colombia,24,Female,2014,416
Jose Lester,Thailand,30,Non-binary,2015,25
Christian Waller,Christmas Island,56,Male,2017,241
Harry Ellis,Rwanda,34,Non-binary,2015,113
Mrs. Marissa Wilkerson,Norway,63,Male,2018,442
Martin Thomas,Zimbabwe,15,Non-binary,2021,396
Samantha Johnson,French Guiana,36,Female,2013,121
Amanda Villa MD,Palestinian Territory,54,Non-binary,2023,111
Steven Reed,Congo,42,Male,2019,84
Daniel Palmer,Central African Republic,40,Female,2018,247
Stephen Robbins,Slovenia,13,Female,2015,117
Brandon Allen,Luxembourg,46,Male,2021,330
Peter Ross,Ireland,22,Non-binary,2011,214
Sandy Conner,Croatia,47,Non-binary,2011,382
Debbie Jones,Bhutan,26,Non-binary,2023,125
Jessica Crosby,Taiwan,19,Male,2016,280
Sarah Sloan,Saint Vincent and the Grenadines,55,Male,2020,108
Samuel Gibbs,Tokelau,17,Female,2018,188
Mary Levy,Guadeloupe,51,Female,2014,370
Erik Dixon,Saint Barthelemy,19,Non-binary,2010,447
Michael Carroll,Palestinian Territory,47,Female,2018,45
William Wilson,Yemen,16,Male,2016,22
Jennifer Eaton,Niger,35,Female,2010,482
Michael Davis,Switzerland,26,Non-binary,2010,302
Lisa Thompson,Turkey,38,Non-binary,2011,281
Alan Cox MD,Faroe Islands,64,Non-binary,2021,96
Michael Shah,Senegal,35,Male,2011,121
John Mora,Belarus,52,Male,2011,334
Daniel Miles,Armenia,38,Female,2014,18
James Hernandez,Mauritius,24,Non-binary,2016,339
Fred Stafford,Serbia,46,Female,2011,476
Phillip Wood,Malaysia,49,Female,2022,431
Andrew Newton PhD,Niue,38,Male,2017,169
Nathan Perry,Turkmenistan,43,Male,2017,454
Sean Jones,Mexico,33,Female,2022,67
Brittany Tucker,Turkey,42,Female,2016,431
Jessica Lawrence,Somalia,30,Female,2012,266
Dustin Stout,Belgium,24,Non-binary,2019,167
Emily Huang,Norfolk Island,34,Male,2015,366
Heather Miller,United Arab Emirates,56,Non-binary,2014,447
Sharon Duncan,El Salvador,58,Non-binary,2016,334
Ann Henry,Uganda,40,Non-binary,2022,414
Terry Fleming,Guernsey,22,Female,2020,20
Michael Fitzgerald,Saudi Arabia,48,Male,2020,246
Elizabeth Williams,Netherlands Antilles,25,Non-binary,2012,405
Anna Farrell,Gabon,56,Non-binary,2019,374
Brian Vazquez,Mauritania,35,Female,2022,418
Christina Mitchell,Niger,40,Female,2015,289
Matthew Sweeney,Norway,19,Non-binary,2014,174
Sarah Mckay,Saint Pierre and Miquelon,19,Male,2023,80
Timothy Martin,Svalbard & Jan Mayen Islands,24,Non-binary,2013,305
Nicholas Thomas,Jordan,25,Male,2019,373
Vincent Holt,Maldives,53,Male,2019,317
Mia Diaz,Marshall Islands,19,Non-binary,2013,422
Morgan Wilson,Czech Republic,58,Non-binary,2020,396
Tracy Gregory,Tokelau,62,Female,2020,211
Jessica Flowers,Germany,59,Female,2020,422
Vicki Clarke,Belize,42,Male,2012,158
David Edwards,United Arab Emirates,19,Male,2011,440
Tina Smith,Madagascar,63,Female,2016,179
Dawn Matthews,Isle of Man,56,Female,2013,181
Melissa Brown,Angola,33,Male,2023,495
Dr. Susan Greene,Anguilla,20,Non-binary,2010,458
James Meyer,Iceland,46,Female,2022,233
Michael Smith,Cyprus,42,Female,2014,399
Mr. Charles Thompson MD,Uzbekistan,28,Male,2020,24
Denise Barnett,Jersey,41,Female,2021,45
Tanya Wright,Antarctica (the territory South of 60 deg S),50,Non-binary,2016,77
Jason Ramirez,Venezuela,53,Female,2021,70
Mr. Jacob Cook DVM,Tajikistan,44,Female,2012,126
Keith Myers,Chile,53,Male,2014,329
Michael Hernandez,Bahrain,50,Male,2012,209
Richard Barber,Cayman Islands,62,Non-binary,2022,166
Jennifer Miranda,Angola,29,Male,2019,384
Mark Jones,Guam,32,Female,2013,102
Eric Davis,Guatemala,32,Female,2022,30
Rachel Morgan,Iran,36,Female,2017,54
Ian Gonzales,Georgia,40,Female,2013,498
Jesse Valencia,Puerto Rico,53,Female,2019,206
Katie Richardson,Mongolia,62,Female,2013,426
Shannon Martinez,Czech Republic,39,Non-binary,2016,351
Maria Avila,Hong Kong,33,Female,2011,330
Daniel Thomas,Niue,62,Female,2014,75
Lindsey Duran,Lesotho,29,Female,2017,328
Shannon Diaz,Paraguay,50,Male,2016,178
Justin Clark,Libyan Arab Jamahiriya,13,Non-binary,2022,362
David Brown,Christmas Island,44,Male,2021,475
Mary Taylor,Northern Mariana Islands,44,Non-binary,2023,22
Tracy White,India,56,Male,2010,345
Brenda Johnson,Suriname,54,Male,2015,163
Savannah Smith,Netherlands,51,Male,2016,133
Jonathan Baldwin,Russian Federation,16,Female,2015,284
Diana Castillo,Zimbabwe,32,Female,2021,211
Austin Allen,Korea,48,Female,2012,159
Timothy Singh,Papua New Guinea,23,Female,2020,366
Daniel Miller,Macao,30,Non-binary,2022,351
Antonio Reyes,Congo,27,Male,2018,297
Joshua Pope,Poland,16,Male,2017,441
Dana West,Guinea-Bissau,33,Male,2023,267
Tiffany Rice,Sao Tome and Principe,56,Female,2010,208
Stephen Watson,Netherlands Antilles,48,Non-binary,2018,243
Eduardo Brown,Cayman Islands,31,Male,2010,99
Edward Curtis,Korea,36,Female,2022,120
Theresa Barr,Luxembourg,30,Male,2013,403
Dr. Henry Kim III,Tunisia,19,Non-binary,2016,182
Allison Wright,Comoros,63,Male,2010,177
Jonathan Ross,Angola,16,Female,2020,401
Harold Morris,Lesotho,21,Male,2012,363
Charles Reid,Turkey,19,Male,2014,307
Steven Williamson,French Guiana,20,Non-binary,2022,309
Robin Romero,Mexico,47,Male,2012,274
Tanya Keller,Turkey,27,Non-binary,2016,70
Sarah Williamson DDS,Vietnam,49,Non-binary,2011,70
Charles Wilson,Taiwan,19,Female,2010,25
Justin Rodriguez,South Africa,39,Non-binary,2011,84
Brandon Sullivan,Iran,23,Male,2015,422
Benjamin Martinez,Afghanistan,36,Non-binary,2016,113
David Joseph,United States Virgin Islands,28,Female,2016,74
Steven Thompson,Saudi Arabia,25,Male,2017,300
Nicholas Horne,Greenland,32,Female,2023,234
Lisa Mason,Palestinian Territory,24,Male,2021,390
Lauren Cortez,Suriname,21,Female,2021,499
David Norris,Morocco,62,Male,2012,347
Ian Jackson,Norfolk Island,60,Non-binary,2016,55
George Barker,Korea,29,Female,2018,395
Robert Chung,Anguilla,17,Female,2010,264
Rebecca Allen,Niger,57,Non-binary,2018,329
Brent Price,Bermuda,22,Female,2015,53
Anthony Miller,Bangladesh,62,Male,2017,379
Michael Holloway,Antigua and Barbuda,54,Female,2012,339
Matthew Nash,Malaysia,48,Female,2014,476
Dylan Patterson,Czech Republic,50,Female,2018,136
Marcus Ramirez,Saint Vincent and the Grenadines,17,Female,2020,145
Sonya Nelson,Austria,52,Non-binary,2018,104
Shirley Mann,Tuvalu,63,Female,2011,74
Mike Thompson,United States Minor Outlying Islands,15,Female,2010,420
Rebecca Cunningham,China,26,Male,2016,338
Kenneth Carter,Jamaica,21,Non-binary,2014,327
Hannah Moore,Solomon Islands,51,Non-binary,2013,263
Ashley Powell,Latvia,48,Male,2019,289
Kyle Johnson,Congo,46,Male,2018,301
Christopher Mckee,Afghanistan,62,Female,2010,103
Donald Pearson,Iraq,28,Female,2015,87
Stephanie Harmon,Suriname,31,Male,2013,318
Christie White,Zimbabwe,17,Male,2017,403
Courtney Watson,Venezuela,15,Female,2015,138
Ralph Smith,Uzbekistan,35,Non-binary,2017,429
Ralph Davis,Peru,65,Female,2012,426
Gregory Huffman,Madagascar,40,Male,2018,249
Tiffany Chase,Argentina,29,Male,2016,200
Sarah Padilla,Indonesia,61,Non-binary,2014,494
Linda Obrien,Brazil,23,Non-binary,2014,84
Lisa Adams,Greece,38,Male,2020,298
Sydney Berger,Guadeloupe,16,Non-binary,2016,301
Michael Boyd,Greenland,13,Female,2018,274
Roy Franklin,United States of America,27,Female,2015,61
Lisa Clark,New Caledonia,28,Male,2021,221
Kristin Medina,Bouvet Island (Bouvetoya),35,Male,2010,67
Mr. Jonathan Johnson,Sierra Leone,21,Non-binary,2016,464
April Flores,Oman,41,Non-binary,2014,121
Lori Morales,United Kingdom,17,Non-binary,2016,298
Lisa Ortiz,Guatemala,53,Male,2011,219
Tyler Baker,Saint Barthelemy,20,Non-binary,2012,293
Joseph Jackson,Angola,59,Female,2017,357
Crystal Smith,Saudi Arabia,54,Male,2011,443
Brandon Clay,Vietnam,53,Non-binary,2019,33
Jesus Elliott,Niue,18,Female,2015,224
Samantha Meyer,Qatar,38,Non-binary,2014,295
Brian Chang,Palestinian Territory,32,Female,2014,478
George Hopkins,Algeria,15,Male,2019,194
Derek Walters,Heard Island and McDonald Islands,27,Male,2010,417
Michael Garcia,Sweden,55,Male,2023,187
Latasha Parker,Algeria,48,Male,2016,386
Lori Warner,Estonia,24,Female,2018,430
Scott Gallagher,Greece,36,Non-binary,2016,217
Thomas Guzman,Saint Lucia,37,Female,2021,411
Ashley Brown,Andorra,50,Non-binary,2015,399
Mary Bennett,Guadeloupe,56,Female,2023,486
Ryan Odonnell,Bahamas,44,Non-binary,2017,282
Julie Carter,Saudi Arabia,13,Female,2022,327
James Davis,French Southern Territories,42,Male,2016,219
John Johnson,Cyprus,41,Female,2012,180
Justin Friedman,Barbados,52,Male,2015,161
Theresa Hunter,Oman,62,Male,2023,490
Marilyn Hernandez DVM,Gambia,34,Male,2021,124
Brandon Alvarado,Iraq,28,Non-binary,2010,359
Maria Lowe,Hong Kong,38,Female,2011,318
Michael Wilson,Saint Martin,54,Male,2014,396
Brian Crosby,Norfolk Island,44,Female,2014,275
Paul Hess,Liechtenstein,18,Female,2016,121
Brooke Delgado DVM,Morocco,46,Non-binary,2013,260
Christopher Wood,Samoa,61,Male,2022,208
Matthew Hancock,Kuwait,63,Female,2017,233
Jason Medina,Latvia,45,Male,2018,495
Mr. William Jackson,Comoros,35,Female,2020,125
Renee Cohen,Taiwan,34,Female,2014,34
Kristy Buck,Sweden,50,Male,2015,357
Juan Long,Svalbard & Jan Mayen Islands,43,Non-binary,2021,393
Adam Huang,Monaco,40,Male,2021,482
Troy Campbell,Timor-Leste,36,Male,2017,440
Tanya Ochoa,Jamaica,22,Female,2012,447
Tammy Nguyen,Guinea-Bissau,13,Non-binary,2015,246
Austin Gonzales,Jamaica,50,Male,2023,172
William Lynch,India,13,Non-binary,2017,121
Brian Roth,Qatar,56,Female,2022,493
Sarah Pineda,Cocos (Keeling) Islands,30,Female,2015,206
William Donaldson,Tanzania,60,Female,2015,159
Michael Beasley,Venezuela,53,Female,2010,364
Scott Joyce,Congo,14,Non-binary,2013,187
Brian Brown,Cambodia,23,Non-binary,2010,194
Joseph Jackson,Lebanon,63,Non-binary,2021,232
Kathleen Levine,Nauru,51,Female,2021,208
Savannah Lawrence,Qatar,61,Non-binary,2013,413
Alfred Joyce,Lao People's Democratic Republic,44,Male,2017,88
Thomas Flores,Guinea,23,Non-binary,2021,23
Aaron Jones,Ethiopia,55,Male,2022,123
Christopher Thomas,Sao Tome and Principe,45,Male,2010,55
Christopher Johnson,Kiribati,53,Female,2015,219
Ashley Perez,Gabon,56,Female,2021,96
Krista Mason,Chad,47,Non-binary,2014,112
Debra Gonzales,American Samoa,22,Female,2011,215
Jacqueline Garcia,Bouvet Island (Bouvetoya),35,Female,2023,159
Lisa Phillips,Belize,14,Male,2020,208
Mrs. Julia Martinez MD,Argentina,23,Female,2022,15
Dennis Nelson,Slovakia (Slovak Republic),49,Non-binary,2015,355
Linda Barajas,Fiji,23,Male,2018,317
Shannon Smith,Guatemala,59,Female,2023,255
Daniel Ward,Palestinian Territory,31,Male,2013,370
Jonathan Hall,Central African Republic,40,Male,2022,389
William Smith,Netherlands,34,Non-binary,2020,487
Kimberly Schneider,Italy,40,Female,2020,468
Jennifer Leblanc,South Africa,60,Male,2015,347
Grace Cooper,Mali,59,Non-binary,2018,323
Lisa Gilmore,Turkey,58,Female,2022,464
Alexis Rodriguez,Cocos (Keeling) Islands,47,Non-binary,2014,174
Michelle Brown,Rwanda,34,Non-binary,2022,362
Kayla Brooks,Belize,59,Female,2013,451
Brian Dixon,Finland,30,Female,2010,39
Julie Alvarado,Liechtenstein,40,Non-binary,2012,291
Amanda Sharp,Guam,51,Female,2020,27
Adam Lee,Guadeloupe,34,Male,2013,61
Pamela Williams,Serbia,14,Male,2022,151
Daniel Powers,Belgium,21,Non-binary,2017,265
Norman Garcia,Djibouti,49,Female,2013,278
Abigail Hunt,Serbia,45,Female,2013,113
Brett Mcdonald,Reunion,49,Non-binary,2016,201
Wendy Clark,San Marino,28,Male,2018,145
Heather Green,Belgium,37,Female,2018,253
Samantha Howard,Albania,57,Non-binary,2011,442
Mr. Mark Robinson,Austria,61,Female,2017,493
Victor Mills,Colombia,14,Female,2016,44
Larry Potts,Bangladesh,42,Female,2017,105
Antonio Blake,Philippines,64,Male,2016,185
Troy White,Syrian Arab Republic,56,Male,2015,47
Mariah Santiago,Ireland,61,Non-binary,2021,321
Jason Gonzalez,Uruguay,23,Female,2016,296
Gerald Knight,Saint Helena,53,Non-binary,2019,325
Amy Smith,Montserrat,39,Male,2017,448
Kirk Murray,Equatorial Guinea,65,Female,2019,266
Lindsey Baker,Fiji,60,Non-binary,2022,25
Amanda Martinez,Bhutan,54,Male,2012,375
Thomas King,Maldives,23,Male,2023,102
Gregory Davidson,Liberia,28,Non-binary,2020,154
Christy Collins,Tajikistan,14,Female,2013,455
Johnny Mccoy,Sweden,17,Non-binary,2011,436
Sandra Mason,Malawi,60,Male,2023,332
Mary Carpenter,Georgia,33,Female,2017,462
Amy Harris,Nicaragua,43,Non-binary,2016,31
April Lopez,Tokelau,53,Non-binary,2021,303
Jamie Hart,Christmas Island,60,Male,2017,128
Lauren Griffin,Belize,51,Female,2016,475
Matthew Peterson,Guinea-Bissau,17,Male,2023,364
Howard Bryant,Vanuatu,28,Female,2012,325
James Fletcher,Martinique,60,Female,2018,294
Maxwell Day,Angola,46,Female,2011,152
Christopher Gomez,Iraq,20,Non-binary,2022,121
Dustin Martin,Guadeloupe,28,Male,2023,264
Mark Bonilla,Sao Tome and Principe,21,Non-binary,2010,126
Crystal Roberts,South Africa,15,Female,2016,320
Donald Hoover,Belarus,27,Male,2014,92
Bobby Pacheco,Cameroon,59,Non-binary,2011,358
Erika Wright,Libyan Arab Jamahiriya,52,Male,2017,202
Kyle Bonilla,Romania,17,Female,2016,186
Joel Walsh,Singapore,15,Male,2022,358
Sandy Brown,Nicaragua,63,Female,2020,313
Nancy Wilson,Spain,43,Non-binary,2021,413
Lisa Cunningham,Burkina Faso,30,Male,2016,344
Bryce Brown,Canada,41,Male,2010,239
Steven Ramos,Rwanda,29,Non-binary,2015,493
Gene Edwards,Finland,62,Male,2021,457
Sonya Meyer,Colombia,15,Non-binary,2017,441
Christine Johnson,Sierra Leone,21,Non-binary,2016,465
Audrey Martin,Turkey,58,Non-binary,2016,383
Sarah Warren,Rwanda,51,Male,2013,250
David Ramirez,Ireland,59,Male,2011,69
Lisa Brock,Isle of Man,33,Female,2020,230
Clifford Jensen,Syrian Arab Republic,55,Female,2023,360
Daniel Harper,Liberia,55,Female,2021,211
Travis Rice,Saudi Arabia,58,Female,2020,295
Tracy Powers,Bolivia,32,Male,2017,296
Aimee Clark,Jamaica,24,Female,2017,194
Maureen Mahoney,Anguilla,59,Female,2015,111
Jaime Carr,Botswana,40,Female,2017,477
Kevin Wagner,Haiti,50,Female,2023,47
Krystal Hensley,Italy,13,Male,2020,87
Holly Brown,Palestinian Territory,51,Male,2023,111
Connor Atkinson,Slovenia,38,Non-binary,2019,473
Gary Vega,Malta,27,Male,2012,485
Melissa Alvarado,Chile,38,Female,2021,396
Ross Gonzalez,Falkland Islands (Malvinas),56,Female,2022,29
Justin Rogers DVM,Latvia,31,Male,2017,202
Erica Jimenez,Tajikistan,26,Male,2021,98
Joshua Flores,Wallis and Futuna,28,Male,2022,256
Leslie Rodriguez,Nicaragua,15,Female,2019,16
Joel Sanchez,Sao Tome and Principe,53,Non-binary,2011,108
Anna Martin,Equatorial Guinea,31,Male,2023,355
Marissa Wise,Sao Tome and Principe,63,Female,2013,88
